C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_46_666.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_46_666.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_46_666.jpg, 0, 0, 0, 7.999163E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_46_768.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_46_768.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_46_768.jpg, 0, 0, 0, 7.836894E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_46_873.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_46_873.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_46_873.jpg, 0, 0, 0, 7.920743E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_46_974.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_46_974.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_46_974.jpg, 0, 0, 0, 7.955584E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_074.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_074.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_074.jpg, 0, 0, 0, 7.819512E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_178.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_178.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_178.jpg, 0, 0, 0, 7.83136E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_282.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_282.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_282.jpg, 0, 0, 0, 8.000203E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_382.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_382.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_382.jpg, 0, 0, 0, 7.910438E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_483.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_483.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_483.jpg, 0, 0, 0, 7.825406E-05
C:\Self drive car\Data1\IMG\center_2021_03_05_12_34_47_585.jpg, C:\Self drive car\Data1\IMG\left_2021_03_05_12_34_47_585.jpg, C:\Self drive car\Data1\IMG\right_2021_03_05_12_34_47_585.jpg, 0, 0, 0, 7.822457E-05
